,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
54,Sistema,Sistema,6271887.85,5902083.69,5600387.56,5484662.08,5426324.44,5400146.41,5201186.23,5581130.45,6038162.25,6282764.33,6461173.57,6703152,6732858.79,6595815.13,6417960.91,6456346.07,6409714.17,6885049.46,7905484.26,7982964.08,7747355.16,7124376.29,6511841.76,6113925.91,2013-11-24
55,Sistema,Sistema,5746370.31,5472099.52,5312614.31,5307923.65,5516375.72,6107213.67,6513946.23,7011049.38,7536773.34,7879089.72,8132816.99,8390519.59,8198580.42,8127608.94,8324536.96,8330022.67,8201000.34,8435649.14,9016413.01,8882318.96,8631018.64,7992564.33,7198377.13,6425691.93,2013-11-25
56,Sistema,Sistema,6177382.39,5964970.65,5793287.41,5762788.41,5932390.99,6480858.06,6658969.19,7135844.46,7625094.96,7855150.76,8202840.98,8440640.92,8236203.06,8155332.52,8272310.53,8253349.58,8234895.54,8353933.1,9087625.44,8948685.8,8657757.23,7988482.21,7180618.43,6534458.24,2013-11-26
57,Sistema,Sistema,6195122.36,5979933.74,5756500.65,5729883.33,5926616.86,6363348.61,6649683.84,7106994.11,7470489.94,7809653.34,8122117.79,8329989.71,8153339.26,8126065.3,8225959.17,8174329.69,8107094.53,8341490.31,9076576.72,8991526.5,8618377.94,8041635.3,7268346.29,6625776.21,2013-11-27
58,Sistema,Sistema,6284255.7,6059610.88,5881027.47,5797976.05,6042469.6,6658848.87,6938104.58,7359924.74,7703540.29,7963837.49,8222236.07,8448278.9,8183697.1,8076510.33,8091229.76,8210193.52,8219777.11,8435363.37,9114624,9116814.25,8794551.77,8354565.5,7530769,6731078.38,2013-11-28
59,Sistema,Sistema,6120670.64,5797162.39,5624242.82,5603798.78,5804985.4,6319047.87,6774976.51,7369676.81,7794328.53,7932814,8219589.87,8449661.28,8263752.2,8212466.29,8335543.71,8300624.14,8233364.91,8395769.92,9130971.73,8990486.28,8598882.49,8093945.79,7273050.56,6604402.83,2013-11-29
60,Sistema,Sistema,6291071.91,6023757.66,5829747.86,5694222.31,5775840.85,5978474.14,6015592.95,6616617.3,7213200.17,7438025.84,7583222,7760801.26,7671657.13,7453978.56,7318276.19,7191310.33,7175482.51,7520478.79,8485055.09,8464916.77,8000658.79,7497311.83,6854814.04,6274146.14,2013-11-30
61,Sistema,Sistema,6038146.72,5782726.5,5618036.08,5450648.8,5408224.94,5410646.43,5158376.55,5404714.06,5723024.92,6061819.53,6272380.9,6431094.99,6459925.41,6411742.01,6237924.17,6158833.34,6101612.25,6520448.21,7644671.43,7857675.74,7702134.39,7203164.16,6591706.74,6025291.1,2013-12-01
62,Sistema,Sistema,5667964.32,5406881.57,5265293.96,5210372.65,5415945.83,5927842.98,6157962.5,6740803.64,7376224.72,7451800.16,7980839.09,8265002.13,8054736.82,7959652.37,8053599.75,8129483.01,8127266.43,8357389.61,9015855.98,8883323.61,8636068.78,8138647.98,7315677.83,6502689.43,2013-12-02
63,Sistema,Sistema,6104805.11,5788343.16,5599904.71,5512757.03,5689026.24,6205920.78,6613072.2,7126348.66,7672695.72,7932963.47,8200639.68,8381083.19,8166059.5,8041749.72,8134076.03,8112755.7,8080841.03,8283247.45,8895379.39,8803979.65,8482245.62,8018940.88,7141152.28,6467488.49,2013-12-03
